state,county,program_type,plan_name,parent_org,geographic_region,medicaid_enrollment,dual_enrollment,total_enrollment,source_url,source_year,notes
WI,Marquette,Marketplace QHP,Marketplace issuer: Dean Health Plan (Marketplace),Marketplace issuer: Dean Health Plan,FIPS 55077,,,360,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Dean Health Plan]
WI,Marquette,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55077,,,212,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Marquette,Marketplace QHP,Marketplace issuer: Quartz (Marketplace),Marketplace issuer: Quartz,FIPS 55077,,,141,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Quartz]
WI,Marquette,Marketplace QHP,Marketplace issuer: Aspirus Health Plan (Marketplace),Marketplace issuer: Aspirus Health Plan,FIPS 55077,,,52,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Aspirus Health Plan]
WI,Menominee,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55078,,,120,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Milwaukee,Marketplace QHP,Elevance Health (Marketplace),Elevance Health,FIPS 55079,,,24083,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Anthem Blue Cross and Blue Shield]
WI,Milwaukee,Marketplace QHP,UnitedHealth Group (Marketplace),UnitedHealth Group,FIPS 55079,,,6156,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: UnitedHealthcare]
WI,Milwaukee,Marketplace QHP,Marketplace issuer: Chorus Community Health Plans (Marketplace),Marketplace issuer: Chorus Community Health Plans,FIPS 55079,,,4970,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Chorus Community Health Plans]
WI,Milwaukee,Marketplace QHP,Marketplace issuer: Common Ground Healthcare Cooperative (Marketplace),Marketplace issuer: Common Ground Healthcare Cooperative,FIPS 55079,,,4559,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Common Ground Healthcare Cooperative]
WI,Milwaukee,Marketplace QHP,Marketplace issuer: Network Health (Marketplace),Marketplace issuer: Network Health,FIPS 55079,,,662,https://www.cms.gov/marketplace/resources/data/issuer-level-enrollment-data,2024,[source: 2024 CMS Issuer-Level Enrollment PUF; sample issuers: Network Health]
